CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD392378,10/08/2020 3:54,079XX S MORGAN ST,650,BURGLARY,HOME INVASION,APARTMENT,N,N,621,17,5,1171026,1852120,41.74968739,-87.64886161,"(41.749687393, -87.648861611)"
JD392479,10/08/2020 1:12,021XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,735,17,14,1163389,1857559,41.7647761,-87.67669473,"(41.764776101, -87.676694732)"
JD392598,10/08/2020 11:00,010XX E 80TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,631,8,08B,1184744,1852175,41.74952786,-87.59859184,"(41.74952786, -87.598591844)"
JD392937,10/08/2020 15:45,020XX N DAMEN AVE,320,ROBBERY,STRONG ARM - NO WEAPON,CONVENIENCE STORE,N,N,1432,32,3,1162706,1913430,41.91810626,-87.67763474,"(41.918106256, -87.677634735)"
JD392821,10/08/2020 13:37,048XX W IRVING PARK RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1634,45,7,1143291,1926152,41.95340183,-87.74864844,"(41.953401827, -87.748648437)"
JD393119,10/08/2020 18:00,0000X E OHIO ST,820,THEFT,$500 AND UNDER,STREET,N,N,1834,42,6,1176358,1904198,41.89247585,-87.6277559,"(41.892475851, -87.627755902)"
JD393512,10/08/2020 21:00,021XX N PARKSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2515,36,14,1138368,1913842,41.91971264,-87.76704499,"(41.91971264, -87.767044991)"
JD397460,10/05/2020 0:01,064XX N HOYNE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2412,50,08A,1161132,1942760,41.99862216,-87.68259939,"(41.998622155, -87.682599391)"
JD397361,9/07/2020 15:00,109XX S WALLACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2233,34,11,1174256,1832240,41.6950628,-87.6376143,"(41.695062798, -87.637614302)"
JD394777,10/08/2020 21:24,002XX S ASHLAND AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,GOVERNMENT BUILDING / PROPERTY,N,N,1231,27,26,1165785,1899039,41.87855118,-87.66673316,"(41.878551176, -87.666733158)"
JD395031,10/08/2020 19:00,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,833,18,6,1145727,1853720,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
JD392721,10/08/2020 13:00,014XX W WARNER AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,1912,47,11,1166001,1927660,41.95708434,-87.66512123,"(41.957084339, -87.665121229)"
JD393038,10/08/2020 14:16,032XX N PULASKI RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1731,30,6,1149164,1921062,41.93932248,-87.72719091,"(41.93932248, -87.727190905)"
JD393088,10/08/2020 17:57,032XX N LAKE SHORE DR,820,THEFT,$500 AND UNDER,STREET,N,N,1925,44,6,1173062,1921867,41.94103415,-87.63933554,"(41.941034149, -87.639335535)"
JD397044,09/23/2020 08:56:00 PM,013XX N MAYFIELD AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,N,N,2531,29,10,1136777,1908330,41.90461574,-87.77302296,"(41.904615737, -87.773022962)"
JD393117,10/08/2020 17:00,056XX S WENTWORTH AVE,890,THEFT,FROM BUILDING,OTHER (SPECIFY),N,N,225,3,6,1175929,1867567,41.79196725,-87.63043243,"(41.791967246, -87.630432429)"
JD369759,09/16/2020 08:40:00 PM,0000X E HUBBARD ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1834,42,04B,1176772,1903334,41.89009564,-87.62626162,"(41.890095639, -87.626261615)"
JD393658,10/08/2020 20:00,012XX W ARTHUR AVE,810,THEFT,OVER $500,STREET,N,N,2432,49,6,1166631,1943458,42.00042102,-87.66235023,"(42.000421022, -87.662350234)"
JD393540,10/08/2020 11:00,044XX N MALDEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1913,46,14,1166744,1929494,41.96210098,-87.66233696,"(41.962100976, -87.662336956)"
JD392619,10/08/2020 11:20,005XX S PULASKI RD,870,THEFT,POCKET-PICKING,CTA TRAIN,N,N,1132,24,6,1149812,1897228,41.87390705,-87.72543009,"(41.873907046, -87.725430093)"
JD393916,10/08/2020 19:52,034XX N WESTERN AVE,890,THEFT,FROM BUILDING,DEPARTMENT STORE,N,N,1921,32,6,1159769,1922729,41.94368445,-87.68816837,"(41.94368445, -87.688168365)"
JD394946,10/08/2020 0:30,069XX S HALSTED ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,732,6,7,1172166,1858840,41.76810295,-87.644487,"(41.768102953, -87.644487)"
JD396957,10/06/2020 5:38,053XX N MAGNOLIA AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,2013,48,26,1167000,1935672,41.97904811,-87.66121756,"(41.979048109, -87.661217559)"
JD392893,10/08/2020 0:01,132XX S INDIANA AVE,820,THEFT,$500 AND UNDER,STREET,N,N,533,9,6,1179940,1817390,41.65418431,-87.61725535,"(41.654184308, -87.61725535)"
JD393181,10/08/2020 19:14,061XX W FLETCHER ST,460,BATTERY,SIMPLE,RESIDENCE,N,N,2511,30,08B,1134925,1920298,41.93749033,-87.7795421,"(41.937490332, -87.779542104)"
JD390825,10/06/2020 17:00,028XX S ARCHER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,Y,Y,913,11,04A,1169259,1886251,41.84338511,-87.65434876,"(41.843385108, -87.654348758)"
JD359744,9/07/2020 16:00,065XX N SPOKANE AVE,620,BURGLARY,UNLAWFUL ENTRY,ALLEY,N,N,1621,41,5,1140316,1942834,41.99923377,-87.75917391,"(41.999233772, -87.759173908)"
JD393549,10/08/2020 19:30,039XX W GRENSHAW ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1132,24,04A,1150300,1894750,41.86709763,-87.72370299,"(41.867097632, -87.723702988)"
JD393796,10/08/2020 20:00,043XX W MAYPOLE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1114,28,5,1147471,1901103,41.88458567,-87.73392585,"(41.88458567, -87.733925852)"
JD393493,10/08/2020 14:00,067XX N SHERIDAN RD,890,THEFT,FROM BUILDING,APARTMENT,N,N,2432,49,6,1167034,1944763,42.00399329,-87.66082998,"(42.00399329, -87.66082998)"
JD395207,10/08/2020 20:26,034XX N WESTERN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1921,47,6,1159771,1922681,41.94355269,-87.68816234,"(41.943552694, -87.688162342)"
JD393229,10/08/2020 20:10,014XX W THORNDALE AVE,320,ROBBERY,STRONG ARM - NO WEAPON,SCHOOL - PRIVATE GROUNDS,N,N,2013,48,3,1165660,1939641,41.98996791,-87.66603175,"(41.989967907, -87.666031751)"
JD393193,10/08/2020 19:01,066XX S JUSTINE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,Y,N,725,16,14,1167150,1860686,41.77327738,-87.66282024,"(41.773277384, -87.66282024)"
JD424989,11/08/2020 13:22,072XX S KEDZIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,831,17,01A,1156291,1856439,41.76184839,-87.70274118,"(41.761848394, -87.702741177)"
JD393072,10/08/2020 17:37,052XX W MADISON ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,DRUG STORE,N,N,1522,28,04B,1141512,1899523,41.88036208,-87.75584744,"(41.880362084, -87.755847438)"
JD395089,10/08/2020 14:00,101XX S CALUMET AVE,890,THEFT,FROM BUILDING,RESIDENCE,N,N,511,9,6,1180372,1837727,41.70998212,-87.61505429,"(41.709982123, -87.615054293)"
JD384524,09/30/2020 02:57:00 PM,050XX S KILDARE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,815,14,6,1148546,1870920,41.80173888,-87.73075591,"(41.801738883, -87.730755907)"
JD393047,10/08/2020 17:00,067XX S KOMENSKY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,Y,833,13,04A,1150533,1859501,41.77036492,-87.72376562,"(41.770364919, -87.723765615)"
JD397089,10/01/2020 9:00,043XX S WENTWORTH AVE,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,925,3,08A,1175650,1876440,41.81632186,-87.63118968,"(41.816321863, -87.631189677)"
JD394225,10/08/2020 14:54,022XX W MONROE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,1223,27,08B,1161549,1899505,41.87991915,-87.68227387,"(41.87991915, -87.682273874)"
JD393096,10/08/2020 17:15,031XX S LAKE SHORE DR NB,1570,SEX OFFENSE,PUBLIC INDECENCY,LAKEFRONT / WATERFRONT / RIVERBANK,N,N,211,4,17,1181875,1884375,41.83795422,-87.60810953,"(41.837954218, -87.608109527)"
JD392771,10/08/2020 13:25,035XX S LAKE PARK AVE,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,212,4,08A,1181909,1881811,41.83091764,-87.60806421,"(41.830917641, -87.608064205)"
JD396722,10/08/2020 14:11,001XX E HURON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,14,1177058,1905098,41.89492967,-87.62515784,"(41.894929671, -87.625157838)"
JD393092,10/08/2020 17:30,077XX S SAGINAW AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,421,7,11,1195265,1854203,41.75483984,-87.5599725,"(41.754839841, -87.559972503)"
JD393293,10/08/2020 21:35,030XX E 80TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,422,7,08B,1198031,1852513,41.75013369,-87.54989254,"(41.750133687, -87.549892536)"
JD393225,10/08/2020 20:15,016XX N NARRAGANSETT AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,N,N,2513,29,04A,1133497,1910233,41.90989597,-87.78502687,"(41.909895969, -87.785026873)"
JD393091,10/08/2020 17:14,045XX W OGDEN AVE,810,THEFT,OVER $500,OTHER (SPECIFY),N,N,1013,22,6,1146570,1887238,41.84655561,-87.73758781,"(41.846555612, -87.737587806)"
JD368002,09/15/2020 01:30:00 PM,065XX S OAKLEY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,N,832,16,7,1162201,1861139,41.77462493,-87.68094957,"(41.774624928, -87.680949573)"
JE263639,08/30/2020 12:00:00 AM,032XX N DRAKE AVE,265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,N,Y,1732,35,2,,,,,
JE129795,2/01/2021 22:41,008XX W 69TH ST,5131,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,STREET,N,N,723,6,26,1171992,1859103,41.76882848,-87.64511708,"(41.768828479, -87.645117076)"
JD392423,10/08/2020 6:33,006XX E 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,N,N,633,9,15,1182327,1842123,41.72200032,-87.60775916,"(41.722000319, -87.607759164)"
